,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Area,Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,Waterways,rCSI
Boucle-Du-Mouhoun,860.0,860.0,0.0,0.0,0.0,3.0,0.0,0.0,860.0,860.0,0.0,923.0,860.0,0.0,0.0,0.0
Cascades,860.0,860.0,0.0,0.0,0.0,3.0,0.0,0.0,860.0,860.0,0.0,923.0,860.0,0.0,0.0,0.0
Centre,860.0,860.0,0.0,0.0,0.0,3.0,0.0,0.0,860.0,860.0,0.0,923.0,860.0,0.0,0.0,0.0
Centre-Est,860.0,860.0,0.0,0.0,0.0,3.0,0.0,0.0,860.0,860.0,0.0,923.0,860.0,0.0,0.0,0.0
Centre-Nord,860.0,860.0,0.0,0.0,0.0,3.0,0.0,0.0,860.0,860.0,0.0,923.0,860.0,0.0,0.0,0.0
Centre-Ouest,860.0,860.0,0.0,0.0,0.0,3.0,0.0,0.0,860.0,860.0,0.0,923.0,860.0,0.0,0.0,0.0
Centre-Sud,860.0,860.0,0.0,0.0,0.0,3.0,0.0,0.0,860.0,860.0,0.0,923.0,860.0,0.0,0.0,0.0
Est,860.0,860.0,0.0,0.0,0.0,3.0,0.0,0.0,860.0,860.0,0.0,923.0,860.0,0.0,0.0,0.0
Hauts-Bassins,860.0,860.0,0.0,0.0,0.0,3.0,0.0,0.0,860.0,860.0,0.0,923.0,860.0,0.0,0.0,0.0
Nord,860.0,860.0,0.0,0.0,0.0,3.0,0.0,0.0,860.0,860.0,0.0,923.0,860.0,0.0,0.0,0.0
Plateau-Central,860.0,860.0,0.0,0.0,0.0,3.0,0.0,0.0,860.0,860.0,0.0,923.0,860.0,0.0,0.0,0.0
Sahel,860.0,860.0,0.0,0.0,0.0,3.0,0.0,0.0,860.0,860.0,0.0,923.0,860.0,0.0,0.0,0.0
Sud-Ouest,860.0,860.0,0.0,0.0,0.0,3.0,0.0,0.0,860.0,860.0,0.0,923.0,860.0,0.0,0.0,0.0
