,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Area,Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Rainfalls (mm),Ramadan,Waterways,rCSI
Adamawa,923.0,923.0,0.0,0.0,0.0,3.0,0.0,0.0,923.0,923.0,0.0,923.0,0.0,0.0,0.0
Central,923.0,923.0,0.0,0.0,0.0,3.0,0.0,0.0,923.0,923.0,0.0,923.0,0.0,0.0,0.0
East,923.0,923.0,0.0,0.0,0.0,3.0,0.0,0.0,923.0,923.0,0.0,923.0,0.0,0.0,0.0
Far-North,923.0,923.0,0.0,0.0,0.0,3.0,0.0,0.0,923.0,923.0,0.0,923.0,0.0,0.0,0.0
Littoral,923.0,923.0,0.0,0.0,0.0,3.0,0.0,0.0,923.0,923.0,0.0,923.0,0.0,0.0,0.0
North,923.0,923.0,0.0,0.0,0.0,3.0,0.0,0.0,923.0,923.0,0.0,923.0,0.0,0.0,0.0
North-West,923.0,923.0,0.0,0.0,0.0,3.0,0.0,0.0,923.0,923.0,0.0,923.0,0.0,0.0,0.0
South,923.0,923.0,0.0,0.0,0.0,3.0,0.0,0.0,923.0,923.0,0.0,923.0,0.0,0.0,0.0
South-West,923.0,923.0,0.0,0.0,0.0,3.0,0.0,0.0,923.0,923.0,0.0,923.0,0.0,0.0,0.0
West,923.0,923.0,0.0,0.0,0.0,3.0,0.0,0.0,923.0,923.0,0.0,923.0,0.0,0.0,0.0
