,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Area,Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,Waterways,rCSI
Al-Hasakeh,1179.0,1179.0,0.0,0.0,0.0,0.0,0.0,0.0,1180.0,1180.0,0.0,1266.0,1179.0,0.0,0.0,0.0
Aleppo,1179.0,1179.0,0.0,0.0,0.0,0.0,0.0,0.0,1180.0,1180.0,0.0,1266.0,1179.0,0.0,0.0,0.0
Ar-Raqqa,1179.0,1179.0,0.0,0.0,29.0,29.0,0.0,0.0,1180.0,1180.0,0.0,1266.0,1179.0,29.0,0.0,29.0
As-Sweida,1179.0,1179.0,0.0,0.0,0.0,0.0,0.0,0.0,1180.0,1180.0,0.0,1266.0,1179.0,0.0,0.0,0.0
Damascus,1179.0,1179.0,0.0,0.0,0.0,0.0,0.0,0.0,1180.0,1180.0,0.0,1266.0,1179.0,0.0,0.0,0.0
Dar'a,1179.0,1179.0,0.0,0.0,0.0,0.0,0.0,0.0,1180.0,1180.0,0.0,1266.0,1179.0,0.0,0.0,0.0
Deir-ez-Zor,1179.0,1179.0,0.0,0.0,29.0,29.0,0.0,0.0,1180.0,1180.0,0.0,1266.0,1179.0,29.0,0.0,29.0
Hama,1179.0,1179.0,0.0,0.0,0.0,0.0,0.0,0.0,1180.0,1180.0,0.0,1266.0,1179.0,0.0,0.0,0.0
Homs,1179.0,1179.0,0.0,0.0,0.0,0.0,0.0,0.0,1180.0,1180.0,0.0,1266.0,1179.0,0.0,0.0,0.0
Lattakia,1179.0,1179.0,0.0,0.0,0.0,0.0,0.0,0.0,1180.0,1180.0,0.0,1266.0,1179.0,0.0,0.0,0.0
Rural Damascus,1179.0,1179.0,0.0,0.0,0.0,0.0,0.0,0.0,1180.0,1180.0,0.0,1266.0,1179.0,0.0,0.0,0.0
Tartous,1179.0,1179.0,0.0,0.0,0.0,0.0,0.0,0.0,1180.0,1180.0,0.0,1266.0,1179.0,0.0,0.0,0.0
