,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Area,Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,Waterways,rCSI
Al-Hasakeh,1674.0,1674.0,0.0,0.0,517.0,517.0,0.0,0.0,1675.0,1675.0,0.0,1781.0,1674.0,517.0,0.0,516.0
Aleppo,1674.0,1674.0,0.0,0.0,517.0,517.0,0.0,0.0,1675.0,1675.0,0.0,1781.0,1674.0,517.0,0.0,516.0
Ar-Raqqa,1674.0,1674.0,0.0,0.0,546.0,546.0,0.0,0.0,1675.0,1675.0,0.0,1781.0,1674.0,546.0,0.0,545.0
As-Sweida,1674.0,1674.0,0.0,0.0,517.0,517.0,0.0,0.0,1675.0,1675.0,0.0,1781.0,1674.0,517.0,0.0,516.0
Damascus,1674.0,1674.0,0.0,0.0,517.0,517.0,0.0,0.0,1675.0,1675.0,0.0,1781.0,1674.0,517.0,0.0,516.0
Dar'a,1674.0,1674.0,0.0,0.0,517.0,517.0,0.0,0.0,1675.0,1675.0,0.0,1781.0,1674.0,517.0,0.0,516.0
Deir-ez-Zor,1674.0,1674.0,0.0,0.0,546.0,546.0,0.0,0.0,1675.0,1675.0,0.0,1781.0,1674.0,546.0,0.0,545.0
Hama,1674.0,1674.0,0.0,0.0,517.0,517.0,0.0,0.0,1675.0,1675.0,0.0,1781.0,1674.0,517.0,0.0,516.0
Homs,1674.0,1674.0,0.0,0.0,517.0,517.0,0.0,0.0,1675.0,1675.0,0.0,1781.0,1674.0,517.0,0.0,516.0
Lattakia,1674.0,1674.0,0.0,0.0,517.0,517.0,0.0,0.0,1675.0,1675.0,0.0,1781.0,1674.0,517.0,0.0,516.0
Rural Damascus,1674.0,1674.0,0.0,0.0,517.0,517.0,0.0,0.0,1675.0,1675.0,0.0,1781.0,1674.0,517.0,0.0,516.0
Tartous,1674.0,1674.0,0.0,0.0,517.0,517.0,0.0,0.0,1675.0,1675.0,0.0,1781.0,1674.0,517.0,0.0,516.0
