,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Area,Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,Waterways,rCSI
Abyan,1673.0,1673.0,0.0,0.0,441.0,443.0,0.0,0.0,1673.0,1673.0,0.0,1779.0,1673.0,441.0,0.0,492.0
Aden,1673.0,1673.0,0.0,0.0,441.0,443.0,0.0,0.0,1673.0,1673.0,0.0,1779.0,1673.0,441.0,0.0,492.0
Al Bayda,1673.0,1673.0,0.0,0.0,441.0,443.0,0.0,0.0,1673.0,1673.0,0.0,1779.0,1673.0,441.0,0.0,492.0
Al Dhale'e,1673.0,1673.0,0.0,0.0,441.0,443.0,0.0,0.0,1673.0,1673.0,0.0,1779.0,1673.0,441.0,0.0,492.0
Al Hudaydah,1673.0,1673.0,0.0,0.0,441.0,443.0,0.0,0.0,1673.0,1673.0,0.0,1779.0,1673.0,441.0,0.0,492.0
Al Jawf,1673.0,1673.0,0.0,0.0,441.0,443.0,0.0,0.0,1673.0,1673.0,0.0,1779.0,1673.0,441.0,0.0,492.0
Al Maharah,1673.0,1673.0,0.0,0.0,441.0,443.0,0.0,0.0,1673.0,1673.0,0.0,1779.0,1673.0,441.0,0.0,492.0
Al Mahwit,1673.0,1673.0,0.0,0.0,441.0,443.0,0.0,0.0,1673.0,1673.0,0.0,1779.0,1673.0,441.0,0.0,492.0
Amanat Al Asimah,1673.0,1673.0,0.0,0.0,441.0,443.0,0.0,0.0,1673.0,1673.0,0.0,1779.0,1673.0,441.0,0.0,492.0
Amran,1673.0,1673.0,0.0,0.0,441.0,443.0,0.0,0.0,1673.0,1673.0,0.0,1779.0,1673.0,441.0,0.0,492.0
Dhamar,1673.0,1673.0,0.0,0.0,441.0,443.0,0.0,0.0,1673.0,1673.0,0.0,1779.0,1673.0,441.0,0.0,492.0
Hajjah,1673.0,1673.0,0.0,0.0,441.0,443.0,0.0,0.0,1673.0,1673.0,0.0,1779.0,1673.0,441.0,0.0,492.0
Ibb,1673.0,1673.0,0.0,0.0,441.0,443.0,0.0,0.0,1673.0,1673.0,0.0,1779.0,1673.0,441.0,0.0,492.0
Lahj,1673.0,1673.0,0.0,0.0,441.0,443.0,0.0,0.0,1673.0,1673.0,0.0,1779.0,1673.0,441.0,0.0,492.0
Marib,1673.0,1673.0,0.0,0.0,441.0,443.0,0.0,0.0,1673.0,1673.0,0.0,1779.0,1673.0,441.0,0.0,492.0
Raymah,1673.0,1673.0,0.0,0.0,441.0,443.0,0.0,0.0,1673.0,1673.0,0.0,1779.0,1673.0,441.0,0.0,492.0
Sa'ada,1673.0,1673.0,0.0,0.0,441.0,443.0,0.0,0.0,1673.0,1673.0,0.0,1779.0,1673.0,441.0,0.0,492.0
Sana'a,1673.0,1673.0,0.0,0.0,441.0,443.0,0.0,0.0,1673.0,1673.0,0.0,1779.0,1673.0,441.0,0.0,492.0
Shabwah,1673.0,1673.0,0.0,0.0,441.0,443.0,0.0,0.0,1673.0,1673.0,0.0,1779.0,1673.0,441.0,0.0,492.0
Taizz,1673.0,1673.0,0.0,0.0,441.0,443.0,0.0,0.0,1673.0,1673.0,0.0,1779.0,1673.0,441.0,0.0,492.0
