,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Area,Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,Waterways,rCSI
Abyan,1249.0,1249.0,0.0,0.0,0.0,1.0,0.0,0.0,1249.0,1249.0,0.0,1341.0,1249.0,0.0,0.0,51.0
Aden,1249.0,1249.0,0.0,0.0,0.0,1.0,0.0,0.0,1249.0,1249.0,0.0,1341.0,1249.0,0.0,0.0,51.0
Al Bayda,1249.0,1249.0,0.0,0.0,0.0,1.0,0.0,0.0,1249.0,1249.0,0.0,1341.0,1249.0,0.0,0.0,51.0
Al Dhale'e,1249.0,1249.0,0.0,0.0,0.0,1.0,0.0,0.0,1249.0,1249.0,0.0,1341.0,1249.0,0.0,0.0,51.0
Al Hudaydah,1249.0,1249.0,0.0,0.0,0.0,1.0,0.0,0.0,1249.0,1249.0,0.0,1341.0,1249.0,0.0,0.0,51.0
Al Jawf,1249.0,1249.0,0.0,0.0,0.0,1.0,0.0,0.0,1249.0,1249.0,0.0,1341.0,1249.0,0.0,0.0,51.0
Al Maharah,1249.0,1249.0,0.0,0.0,0.0,1.0,0.0,0.0,1249.0,1249.0,0.0,1341.0,1249.0,0.0,0.0,51.0
Al Mahwit,1249.0,1249.0,0.0,0.0,0.0,1.0,0.0,0.0,1249.0,1249.0,0.0,1341.0,1249.0,0.0,0.0,51.0
Amanat Al Asimah,1249.0,1249.0,0.0,0.0,0.0,1.0,0.0,0.0,1249.0,1249.0,0.0,1341.0,1249.0,0.0,0.0,51.0
Amran,1249.0,1249.0,0.0,0.0,0.0,1.0,0.0,0.0,1249.0,1249.0,0.0,1341.0,1249.0,0.0,0.0,51.0
Dhamar,1249.0,1249.0,0.0,0.0,0.0,1.0,0.0,0.0,1249.0,1249.0,0.0,1341.0,1249.0,0.0,0.0,51.0
Hajjah,1249.0,1249.0,0.0,0.0,0.0,1.0,0.0,0.0,1249.0,1249.0,0.0,1341.0,1249.0,0.0,0.0,51.0
Ibb,1249.0,1249.0,0.0,0.0,0.0,1.0,0.0,0.0,1249.0,1249.0,0.0,1341.0,1249.0,0.0,0.0,51.0
Lahj,1249.0,1249.0,0.0,0.0,0.0,1.0,0.0,0.0,1249.0,1249.0,0.0,1341.0,1249.0,0.0,0.0,51.0
Marib,1249.0,1249.0,0.0,0.0,0.0,1.0,0.0,0.0,1249.0,1249.0,0.0,1341.0,1249.0,0.0,0.0,51.0
Raymah,1249.0,1249.0,0.0,0.0,0.0,1.0,0.0,0.0,1249.0,1249.0,0.0,1341.0,1249.0,0.0,0.0,51.0
Sa'ada,1249.0,1249.0,0.0,0.0,0.0,1.0,0.0,0.0,1249.0,1249.0,0.0,1341.0,1249.0,0.0,0.0,51.0
Sana'a,1249.0,1249.0,0.0,0.0,0.0,1.0,0.0,0.0,1249.0,1249.0,0.0,1341.0,1249.0,0.0,0.0,51.0
Shabwah,1249.0,1249.0,0.0,0.0,0.0,1.0,0.0,0.0,1249.0,1249.0,0.0,1341.0,1249.0,0.0,0.0,51.0
Taizz,1249.0,1249.0,0.0,0.0,0.0,1.0,0.0,0.0,1249.0,1249.0,0.0,1341.0,1249.0,0.0,0.0,51.0
