region,Easting,Northing,Longitude,Latitude
Boucle-Du-Mouhoun,238229.62642105584,-4141188.080396196,-3.4889045412941937,12.535927023484776
Cascades,118522.66857786011,-4381719.990681569,-4.5703491858738445,10.354483567382896
Centre,454368.2484668041,-4164821.6874259035,-1.4999608374274638,12.325874473829256
Centre-Est,597776.5194853989,-4243667.790168784,-0.1860523603689417,11.607597874846034
Centre-Nord,511185.13644900563,-4060119.126945801,-0.9736234041308092,13.271073782688552
Centre-Ouest,375864.37271168485,-4223438.444712582,-2.2215485306204115,11.79615522501702
Centre-Sud,485152.6260283016,-4246788.994793154,-1.2189725370438171,11.584015088277884
Est,718416.5619239352,-4172611.649399424,0.9264825836092052,12.240285449921886
Hauts-Bassins,145587.1566187465,-4270085.381504969,-4.3311696081084605,11.365155887958863
Nord,369352.356484404,-4039437.807368008,-2.283148656613776,13.459991496033773
Plateau-Central,494278.3924507655,-4151569.07686205,-1.1325241304161977,12.444786532303668
Sahel,567292.1938229958,-3962853.1992182657,-0.4500407808442609,14.147636998838394
Sud-Ouest,264601.0408818295,-4369240.720333605,-3.2371906407249704,10.475214903710103
