region,Easting,Northing,Longitude,Latitude
Al-Hasakeh,4329668.814467588,-507892.88679145847,40.90735361078337,36.49147532060025
Aleppo,4036838.452281483,-699921.895084114,37.64271023883196,36.21808536713961
Ar-Raqqa,4177543.5526705207,-659932.6681233493,38.994679455168864,36.011529686174114
As-Sweida,4148290.902421827,-1145677.121485184,36.84675360899491,32.74856996781291
Damascus,4051029.5338361356,-1079021.882659429,36.27807996045118,33.51568672086371
Dar'a,4079542.282460934,-1159899.8528045965,36.22436356936248,32.85649313602874
Deir-ez-Zor,4359546.735988073,-697281.7678995192,40.32402729587435,35.13006522239182
Hama,4051627.024593639,-836145.055805962,37.21228492479381,35.22092125013228
Homs,4207644.951144829,-870733.4219830062,38.37715828703755,34.469831813676535
Lattakia,3918199.897360842,-847324.8112804361,36.02651287187954,35.57529717274596
Rural Damascus,4163851.493440611,-1032480.8845241329,37.391555979284256,33.4920223255188
Tartous,3955794.978961577,-917192.5298644168,36.07793297164819,34.95942559432185
