region,Easting,Northing,Longitude,Latitude
Abyan,6232365.980133356,-3313056.2320646094,46.15814236109151,13.70487804701045
Aden,6061294.46612932,-3495981.809376651,44.800320383671306,12.835529009416623
Al Bayda,6085945.076567342,-3249661.5669038617,45.336602984966746,14.320238611802726
Al Dhale'e,6017244.384010375,-3335587.251382063,44.760433671444616,13.896384981728852
Al Hudaydah,5751911.890973221,-3253136.2565580327,43.1670468807072,14.830519792500978
Al Jawf,6027200.924237323,-2891281.0130495764,45.59859384979188,16.618418417799912
Al Maharah,6916205.357132315,-2572469.3132515135,51.592708307483456,16.75545486068795
Al Mahwit,5784693.000716779,-3159208.5319802254,43.54099618735003,15.374826335500062
Amanat Al Asimah,5881754.854523505,-3123713.1927287686,44.23685738477738,15.436116929868748
Amran,5804569.410418084,-3028639.6112778895,43.902564706031455,16.16643499003962
Dhamar,5908970.856171951,-3250142.648899986,44.19961138591047,14.598833650427478
Hajjah,5717118.0703897895,-3065607.868768211,43.25963126942511,16.084634068859888
Ibb,5923889.484064059,-3329772.4866325743,44.16803074768311,14.075870377374152
Lahj,6011497.270507596,-3452262.2252590144,44.54547460007845,13.178822284548271
Marib,6065073.741461298,-3063813.86385661,45.52088488736957,15.495097326275843
Raymah,5830713.17773036,-3260453.044547678,43.67293489667174,14.658463216265565
Sa'ada,5768291.438097594,-2892466.870920112,43.92008444285442,17.089972265827598
Sana'a,5901718.52622541,-3134585.228846067,44.34756859640064,15.33448826191734
Shabwah,6303740.2581550265,-3118165.416280674,46.92313303677423,14.762417368461213
Taizz,5890504.113446525,-3442409.725305531,43.77816099602558,13.416517289460346
