,Datetime,region,population,FCS,rCSI,dataType,n_conflicts,n_fatalities,log_fatalities,rolling_sum_fatalities,rolling_sum_conflicts,log_rolling_sum_fatalities
0,2022-10-14,Abia,3802539,0.1939078073886947,0.126319808948705,SURVEY,0.0,0.0,0.0,,,
1,2022-10-15,Abia,3802539,0.1925907926256641,0.1266177677599099,SURVEY,1.0,1.0,0.6931471805599453,,,
2,2022-10-16,Abia,3802539,0.1949749890796649,0.1272468211371402,SURVEY,0.0,0.0,0.0,,,
3,2022-10-17,Abia,3802539,0.1958959526779344,0.1295647460814997,SURVEY,1.0,0.0,0.0,,,
4,2022-10-18,Abia,3802539,0.2001128719521351,0.1281117695308319,SURVEY,0.0,0.0,0.0,,,
5,2022-10-19,Abia,3802539,0.1981849495823711,0.1228089968308017,SURVEY,0.0,0.0,0.0,,,
6,2022-10-20,Abia,3802539,0.2019079883204353,0.1229207642577762,SURVEY,0.0,0.0,0.0,,,
7,2022-10-21,Abia,3802539,0.1997788845821173,0.1238987949893479,SURVEY,0.0,0.0,0.0,,,
8,2022-10-22,Abia,3802539,0.196491870300344,0.1229867727852363,SURVEY,1.0,0.0,0.0,,,
9,2022-10-23,Abia,3802539,0.2016868203061165,0.1252818182798388,SURVEY,0.0,0.0,0.0,,,
10,2022-10-24,Abia,3802539,0.202711924848108,0.1288678433015414,SURVEY,0.0,0.0,0.0,,,
11,2022-10-25,Abia,3802539,0.2059118920279318,0.1307129262842537,SURVEY,0.0,0.0,0.0,,,
12,2022-10-26,Abia,3802539,0.2066687547451847,0.1311139741104562,SURVEY,0.0,0.0,0.0,,,
13,2022-10-27,Abia,3802539,0.2011448140308357,0.1268197380750072,SURVEY,0.0,0.0,0.0,,,
14,2022-10-28,Abia,3802539,0.2014227861962757,0.1247229811449665,SURVEY,0.0,0.0,0.0,,,
15,2022-10-29,Abia,3802539,0.1998267473390805,0.1231708603120178,SURVEY,0.0,0.0,0.0,,,
16,2022-10-30,Abia,3802539,0.2041777875256506,0.1282798151445652,SURVEY,0.0,0.0,0.0,,,
17,2022-10-31,Abia,3802539,0.2023679441552078,0.1295978818363204,SURVEY,0.0,0.0,0.0,,,
18,2022-11-01,Abia,3802539,0.2036557678961346,0.1213368225809123,SURVEY,0.0,0.0,0.0,,,
19,2022-11-02,Abia,3802539,0.1999758582357735,0.1198328274871079,SURVEY,1.0,0.0,0.0,,,
20,2022-11-03,Abia,3802539,0.2044618082812563,0.1194617596295528,SURVEY,3.0,0.0,0.0,,,
21,2022-11-04,Abia,3802539,0.210825977064272,0.1219048640921237,SURVEY,4.0,1.0,0.6931471805599453,,,
22,2022-11-05,Abia,3802539,0.2112309696231912,0.1220897405654485,SURVEY,2.0,3.0,1.3862943611198906,,,
23,2022-11-06,Abia,3802539,0.2142279145591932,0.1202349272420348,SURVEY,0.0,0.0,0.0,,,
24,2022-11-07,Abia,3802539,0.2150247505679757,0.1252657763667907,SURVEY,0.0,0.0,0.0,,,
25,2022-11-08,Abia,3802539,0.215323761307905,0.1239829492873051,SURVEY,0.0,0.0,0.0,,,
26,2022-11-09,Abia,3802539,0.2131157629152521,0.1238469874996679,SURVEY,1.0,0.0,0.0,,,
27,2022-11-10,Abia,3802539,0.2120777722463859,0.1234259530277007,SURVEY,0.0,0.0,0.0,,,
28,2022-11-11,Abia,3802539,0.2182207730150828,0.1227187939426788,SURVEY,0.0,0.0,0.0,,,
29,2022-11-12,Abia,3802539,0.2147378370083778,0.1154778425678211,SURVEY,0.0,0.0,0.0,5.0,14.0,1.791759469228055
30,2022-11-13,Abia,3802539,0.2154399994319585,0.1122407949004599,SURVEY,0.0,0.0,0.0,5.0,14.0,1.791759469228055
31,2022-11-14,Abia,3802539,0.2127399613784368,0.1106389704352802,SURVEY,0.0,0.0,0.0,4.0,13.0,1.6094379124341003
32,2022-11-15,Abia,3802539,0.2181289922338732,0.1140937673486057,SURVEY,0.0,0.0,0.0,4.0,13.0,1.6094379124341003
33,2022-11-16,Abia,3802539,0.2197716221476849,0.1141639835909638,SURVEY,0.0,0.0,0.0,4.0,12.0,1.6094379124341003
34,2022-11-17,Abia,3802539,0.2185097904321297,0.1137369005288308,SURVEY,0.0,0.0,0.0,4.0,12.0,1.6094379124341003
35,2022-11-18,Abia,3802539,0.2197697380618581,0.1154838911579868,SURVEY,0.0,0.0,0.0,4.0,12.0,1.6094379124341003
36,2022-11-19,Abia,3802539,0.2222478191545175,0.1170578395119681,SURVEY,0.0,0.0,0.0,4.0,12.0,1.6094379124341003
37,2022-11-20,Abia,3802539,0.2220958154538323,0.1157289905507872,SURVEY,0.0,0.0,0.0,4.0,12.0,1.6094379124341003
38,2022-11-21,Abia,3802539,0.2234759459403309,0.1172108951413779,SURVEY,0.0,0.0,0.0,4.0,11.0,1.6094379124341003
39,2022-11-22,Abia,3802539,0.225722865695789,0.1114989221675307,SURVEY,0.0,0.0,0.0,4.0,11.0,1.6094379124341003
40,2022-11-23,Abia,3802539,0.2263608604671773,0.110023855113649,SURVEY,0.0,0.0,0.0,4.0,11.0,1.6094379124341003
41,2022-11-24,Abia,3802539,0.2227998187526807,0.109842923373041,SURVEY,0.0,0.0,0.0,4.0,11.0,1.6094379124341003
42,2022-11-25,Abia,3802539,0.2219338184302646,0.1085238047525613,SURVEY,0.0,0.0,0.0,4.0,11.0,1.6094379124341003
43,2022-11-26,Abia,3802539,0.2222117905957046,0.1125137704044587,SURVEY,1.0,0.0,0.0,4.0,12.0,1.6094379124341003
44,2022-11-27,Abia,3802539,0.2223188243434189,0.1153639712833977,SURVEY,1.0,0.0,0.0,4.0,13.0,1.6094379124341003
45,2022-11-28,Abia,3802539,0.2230428142880323,0.1145389961812357,SURVEY,0.0,0.0,0.0,4.0,13.0,1.6094379124341003
46,2022-11-29,Abia,3802539,0.2220179727282218,0.1165949908732034,SURVEY,0.0,0.0,0.0,4.0,13.0,1.6094379124341003
47,2022-11-30,Abia,3802539,0.2126939394967415,0.113013962512942,SURVEY,1.0,0.0,0.0,4.0,14.0,1.6094379124341003
48,2022-12-01,Abia,3802539,0.213334827072122,0.113074974378961,SURVEY,0.0,0.0,0.0,4.0,14.0,1.6094379124341003
49,2022-12-02,Abia,3802539,0.2141548055128428,0.114661808859817,SURVEY,0.0,0.0,0.0,4.0,13.0,1.6094379124341003
50,2022-12-03,Abia,3802539,0.2158278981491051,0.1119217975147657,SURVEY,0.0,0.0,0.0,4.0,10.0,1.6094379124341003
51,2022-12-04,Abia,3802539,0.2283947646559312,0.1192308612745326,SURVEY,0.0,0.0,0.0,3.0,6.0,1.3862943611198906
52,2022-12-05,Abia,3802539,0.2298658869770961,0.1156798128829185,SURVEY,0.0,0.0,0.0,0.0,4.0,0.0
53,2022-12-06,Abia,3802539,0.2322408790547578,0.1146357736238865,SURVEY,0.0,0.0,0.0,0.0,4.0,0.0
54,2022-12-07,Abia,3802539,0.2293488640090213,0.1102189878920373,SURVEY,0.0,0.0,0.0,0.0,4.0,0.0
55,2022-12-08,Abia,3802539,0.227704962394863,0.1108109607817303,SURVEY,0.0,0.0,0.0,0.0,4.0,0.0
