Datetime,food_inflation,food_inflation_cubic_intp,headline_inflation,headline_inflation_cubic_intp,currency_exchange,currency_exchange_cubic_intp,Ramadan,Ramadan_past90days,day_num,day_of_week
2022-10-01,,23.49075551555602,,20.904954557787885,,431.900312286338,0.0,0.0,1,Sat
2022-10-02,,23.50428609912011,,20.91607355393308,,431.8519874156988,0.0,0.0,1,Sun
2022-10-03,,23.51827254260408,,20.92751258274956,431.85,431.85,0.0,0.0,1,Mon
2022-10-04,,23.5327102665075,,20.939272348971084,431.87,431.87,0.0,0.0,1,Tue
2022-10-05,,23.5475946913299,,20.95135355733143,431.87,431.87,0.0,0.0,1,Wed
2022-10-06,,23.56292123757085,,20.963756912564374,432.9,432.9,0.0,0.0,1,Thu
2022-10-07,,23.578685325729886,,20.976483119403678,433.22,433.22,0.0,0.0,1,Fri
2022-10-08,,23.594882376306582,,20.989532882583127,,433.4264530206526,0.0,0.0,2,Sat
2022-10-09,,23.61150780980047,,21.00290690683648,,433.6759032196201,0.0,0.0,2,Sun
2022-10-10,,23.628557046711123,,21.016605896897524,433.78,433.78,0.0,0.0,2,Mon
2022-10-11,,23.646025507538074,,21.030630557500018,433.78,433.78,0.0,0.0,2,Tue
2022-10-12,,23.663908612780887,,21.044981593377738,434.27,434.27,0.0,0.0,2,Wed
2022-10-13,,23.682201782939106,,21.05965970926446,434.7,434.7,0.0,0.0,2,Thu
2022-10-14,,23.7009004385123,,21.074665609893962,434.68,434.68,0.0,0.0,2,Fri
2022-10-15,23.72,23.72,21.09,21.09,,434.54185376467655,0.0,0.0,3,Sat
2022-10-16,,23.73948393966287,,21.10565478495074,,434.5854640881689,0.0,0.0,3,Sun
2022-10-17,,23.75928793680592,,21.12158667265187,435.06,435.06,0.0,0.0,3,Mon
2022-10-18,,23.77933572249526,,21.137743571643448,435.85,435.85,0.0,0.0,3,Tue
2022-10-19,,23.799551027797,,21.154073390465538,435.98,435.98,0.0,0.0,3,Wed
2022-10-20,,23.819857583777253,,21.170524037658215,436.11,436.11,0.0,0.0,3,Thu
2022-10-21,,23.840179121502132,,21.18704342176154,436.11,436.11,0.0,0.0,3,Fri
2022-10-22,,23.860439372037735,,21.203579451315584,,436.1376595473766,0.0,0.0,4,Sat
2022-10-23,,23.880562066450192,,21.22008003486041,,436.26599304803943,0.0,0.0,4,Sun
2022-10-24,,23.9004709358056,,21.23649308093608,436.5,436.5,0.0,0.0,4,Mon
2022-10-25,,23.920089711170075,,21.25276649808267,436.68,436.68,0.0,0.0,4,Tue
2022-10-26,,23.939342123609723,,21.268848194840242,436.55,436.55,0.0,0.0,4,Wed
2022-10-27,,23.958151904190657,,21.28468607974886,437.16,437.16,0.0,0.0,4,Thu
2022-10-28,,23.97644278397899,,21.30022806134859,437.5,437.5,0.0,0.0,4,Fri
2022-10-29,,23.99413849404083,,21.315422048179503,,437.6483768036981,0.0,0.0,5,Sat
2022-10-30,,24.011162765442286,,21.330215948781664,,437.75164488886844,0.0,0.0,5,Sun
2022-10-31,,24.027439329249475,,21.344557671695135,437.85,437.85,0.0,0.0,5,Mon
2022-11-01,,24.0428919165285,,21.35839512545999,438.02,438.02,0.0,0.0,5,Tue
2022-11-02,,24.057444258345484,,21.371676218616294,438.37,438.37,0.0,0.0,5,Wed
2022-11-03,,24.071020085766524,,21.3843488597041,438.67,438.67,0.0,0.0,5,Thu
2022-11-04,,24.083543129857734,,21.396360957263497,438.88,438.88,0.0,0.0,5,Fri
2022-11-05,,24.094937121685227,,21.407660419834535,,438.9981675837657,0.0,0.0,6,Sat
2022-11-06,,24.10512579231511,,21.41819515595728,,439.09428193422946,0.0,0.0,6,Sun
2022-11-07,,24.114032872813503,,21.42791307417181,439.26,439.26,0.0,0.0,6,Mon
2022-11-08,,24.121582094246502,,21.436762083018177,439.53,439.53,0.0,0.0,6,Tue
2022-11-09,,24.127697187680234,,21.44469009103646,439.79,439.79,0.0,0.0,6,Wed
2022-11-10,,24.13230188418079,,21.451645006766725,440.13,440.13,0.0,0.0,6,Thu
2022-11-11,,24.135319914814303,,21.457574738749024,440.46,440.46,0.0,0.0,6,Fri
2022-11-12,,24.13667501064687,,21.46242719552344,,440.5717167493478,0.0,0.0,7,Sat
2022-11-13,,24.136290902744598,,21.46615028563003,,440.6127851652917,0.0,0.0,7,Sun
2022-11-14,,24.134091322173603,,21.468691917608858,440.83,440.83,0.0,0.0,7,Mon
2022-11-15,24.13,24.13,21.47,21.47,441.19,441.19,0.0,0.0,7,Tue
2022-11-16,,24.123977730009255,,21.47004698696307,441.19,441.19,0.0,0.0,7,Wed
2022-11-17,,24.116133556864224,,21.468903515135864,441.85,441.85,0.0,0.0,7,Thu
2022-11-18,,24.106613587947148,,21.466664766775754,442.16,442.16,0.0,0.0,7,Fri
2022-11-19,,24.09556393064024,,21.4634259241401,,442.28213181226397,0.0,0.0,8,Sat
2022-11-20,,24.083130692325735,,21.45928216948625,,442.3809369247545,0.0,0.0,8,Sun
2022-11-21,,24.069459980385847,,21.454328685071566,442.49,442.49,0.0,0.0,8,Mon
2022-11-22,,24.054697902202815,,21.44866065315341,442.63,442.63,0.0,0.0,8,Tue
2022-11-23,,24.038990565158848,,21.442373255989125,442.8,442.8,0.0,0.0,8,Wed
2022-11-24,,24.022484076636186,,21.43556167583609,442.95,442.95,0.0,0.0,8,Thu
2022-11-25,,24.00532454401704,,21.428321094951652,442.76,442.76,0.0,0.0,8,Fri
2022-11-26,,23.98765807468364,,21.42074669559317,,442.81917707622335,0.0,0.0,9,Sat
2022-11-27,,23.969630776018214,,21.412933660018005,,443.1071583155009,0.0,0.0,9,Sun
2022-11-28,,23.951388755402988,,21.40497717048351,443.37,443.37,0.0,0.0,9,Mon
2022-11-29,,23.933078120220177,,21.39697240924704,443.44,443.44,0.0,0.0,9,Tue
2022-11-30,,23.914844977852017,,21.389014558565965,443.44,443.44,0.0,0.0,9,Wed
2022-12-01,,23.896835435680728,,21.381198800697643,443.45,443.45,0.0,0.0,9,Thu
2022-12-02,,23.879195601088533,,21.373620317899416,443.67,443.67,0.0,0.0,9,Fri
2022-12-03,,23.862071581457652,,21.36637429242865,,443.79762955756587,0.0,0.0,10,Sat
2022-12-04,,23.845609484170332,,21.359555906542717,,443.8666836840507,0.0,0.0,10,Sun
2022-12-05,,23.829955416608772,,21.353260342498956,444.04,444.04,0.0,0.0,10,Mon
2022-12-06,,23.81525548615521,,21.34758278255474,444.31,444.31,0.0,0.0,10,Tue
2022-12-07,,23.80165580019186,,21.342618408967404,444.31,444.31,0.0,0.0,10,Wed
2022-12-08,,23.789302466100967,,21.33846240399434,444.47,444.47,0.0,0.0,10,Thu
2022-12-09,,23.778341591264734,,21.335209949892867,444.47,444.47,0.0,0.0,10,Fri
2022-12-10,,23.7689192830654,,21.332956228920377,,444.4687430919926,0.0,0.0,11,Sat
2022-12-11,,23.76118164888518,,21.331796423334218,,444.5326351302186,0.0,0.0,11,Sun
2022-12-12,,23.755274796106313,,21.331825715391737,444.65,444.65,0.0,0.0,11,Mon
2022-12-13,,23.751344832111005,,21.3331392873503,444.81,444.81,0.0,0.0,11,Tue
2022-12-14,,23.749537864281493,,21.33583232146727,444.96,444.96,0.0,0.0,11,Wed
2022-12-15,23.75,23.75,21.34,21.34,444.96,444.96,0.0,0.0,11,Thu
2022-12-16,,23.7528314615343,,21.345707296885855,444.97,444.97,0.0,0.0,11,Fri
2022-12-17,,23.757948930694393,,21.352898352782233,,445.10577108525445,0.0,0.0,12,Sat
2022-12-18,,23.7652232041758,,21.36148710002655,,445.30336101681814,0.0,0.0,12,Sun
2022-12-19,,23.774525078674063,,21.3713874709562,445.46,445.46,0.0,0.0,12,Mon
2022-12-20,,23.785725350884725,,21.382513397908593,445.46,445.46,0.0,0.0,12,Tue
2022-12-21,,23.79869481750333,,21.394778813221144,445.46,445.46,0.0,0.0,12,Wed
2022-12-22,,23.81330427522541,,21.408097649231248,446.13,446.13,0.0,0.0,12,Thu
2022-12-23,,23.829424520746507,,21.422383838276332,446.13,446.13,0.0,0.0,12,Fri
2022-12-24,,23.846926350762157,,21.43755131269378,,446.0469347534386,0.0,0.0,13,Sat
2022-12-25,,23.86568056196791,,21.453514004821017,,446.0811209261669,0.0,0.0,13,Sun
2022-12-26,,23.885557951059287,,21.470185846995438,446.15,446.15,0.0,0.0,13,Mon
2022-12-27,,23.906429314731845,,21.487480771554452,446.13,446.13,0.0,0.0,13,Tue
2022-12-28,,23.9281654496811,,21.505312710835465,446.14,446.14,0.0,0.0,13,Wed
2022-12-29,,23.950637152602614,,21.52359559717589,447.08,447.08,0.0,0.0,13,Thu
2022-12-30,,23.973715220191913,,21.54224336291313,447.58,447.58,0.0,0.0,13,Fri
2022-12-31,,23.99727044914455,,21.56116994038459,,447.5911937659182,0.0,0.0,14,Sat
2023-01-01,,24.021173636156053,,21.58028926192769,,447.47955653239774,0.0,0.0,14,Sun
2023-01-02,,24.045295577921955,,21.599515259879816,447.58,447.58,0.0,0.0,14,Mon
2023-01-03,,24.06950707113781,,21.618761866578396,448.05,448.05,0.0,0.0,14,Tue
2023-01-04,,24.093678912499147,,21.637943014360815,448.51,448.51,0.0,0.0,14,Wed
2023-01-05,,24.117681898701505,,21.656972635564497,449.03,449.03,0.0,0.0,14,Thu
2023-01-06,,24.141386826440428,,21.67576466252684,449.55,449.55,0.0,0.0,14,Fri
2023-01-07,,24.164664492411454,,21.694233027585256,,449.82211589681174,0.0,0.0,15,Sat
2023-01-08,,24.187385693310123,,21.712291663077156,,449.8118789532977,0.0,0.0,15,Sun
2023-01-09,,24.209421225831967,,21.729854501339936,449.55,449.55,0.0,0.0,15,Mon
