"","Datetime","region","population","FCS","rCSI","dataType","n_conflicts","n_fatalities","log_fatalities","rolling_sum_fatalities","rolling_sum_conflicts","log_rolling_sum_fatalities","food_inflation","headline_inflation","currency_exchange","food_inflation_spline","headline_inflation_spline","currency_exchange_spline"
"1",2022-11-12,"Abia",3802539,0.214737837008378,0.115477842567821,"SURVEY",0,0,0,5,14,1.79175946922805,NA,NA,NA,23.7797110035535,21.284378815786,440.57171799049
"45",2022-11-13,"Abia",3802539,0.215439999431958,0.11224079490046,"SURVEY",0,0,0,5,14,1.79175946922805,NA,NA,NA,23.7618337019896,21.2766641455667,440.612785906816
"100",2022-11-14,"Abia",3802539,0.212739961378437,0.11063897043528,"SURVEY",0,0,0,4,13,1.6094379124341,NA,NA,440.83,23.746060988321,21.2703269822967,440.83
"146",2022-11-15,"Abia",3802539,0.218128992233873,0.114093767348606,"SURVEY",0,0,0,4,13,1.6094379124341,NA,NA,441.19,23.7323413384982,21.2653329051608,441.19
"178",2022-11-16,"Abia",3802539,0.219771622147685,0.114163983590964,"SURVEY",0,0,0,4,12,1.6094379124341,NA,NA,441.19,23.7206232284719,21.2616474933437,441.19
"221",2022-11-17,"Abia",3802539,0.21850979043213,0.113736900528831,"SURVEY",0,0,0,4,12,1.6094379124341,NA,NA,441.85,23.7108551341925,21.2592363260302,441.85
"254",2022-11-18,"Abia",3802539,0.219769738061858,0.115483891157987,"SURVEY",0,0,0,4,12,1.6094379124341,NA,NA,442.16,23.7029855316105,21.258064982405,442.16
"276",2022-11-19,"Abia",3802539,0.222247819154517,0.117057839511968,"SURVEY",0,0,0,4,12,1.6094379124341,NA,NA,NA,23.6969628966764,21.2580990416531,442.282131810955
"316",2022-11-20,"Abia",3802539,0.222095815453832,0.115728990550787,"SURVEY",0,0,0,4,12,1.6094379124341,NA,NA,NA,23.6927357053409,21.2593040829591,442.380936923972
"335",2022-11-21,"Abia",3802539,0.223475945940331,0.117210895141378,"SURVEY",0,0,0,4,11,1.6094379124341,NA,NA,442.49,23.6902524335544,21.2616456855079,442.49
"390",2022-11-22,"Abia",3802539,0.225722865695789,0.111498922167531,"SURVEY",0,0,0,4,11,1.6094379124341,NA,NA,442.63,23.6894615572674,21.2650894284842,442.63
"408",2022-11-23,"Abia",3802539,0.226360860467177,0.110023855113649,"SURVEY",0,0,0,4,11,1.6094379124341,NA,NA,442.8,23.6903115524305,21.2696008910729,442.8
"450",2022-11-24,"Abia",3802539,0.222799818752681,0.109842923373041,"SURVEY",0,0,0,4,11,1.6094379124341,NA,NA,442.95,23.6927508949941,21.2751456524587,442.95
"492",2022-11-25,"Abia",3802539,0.221933818430265,0.108523804752561,"SURVEY",0,0,0,4,11,1.6094379124341,NA,NA,442.76,23.6967280609089,21.2816892918263,442.76
"529",2022-11-26,"Abia",3802539,0.222211790595705,0.112513770404459,"SURVEY",1,0,0,4,12,1.6094379124341,NA,NA,NA,23.7021915261253,21.2891973883606,442.819177076225
"582",2022-11-27,"Abia",3802539,0.222318824343419,0.115363971283398,"SURVEY",1,0,0,4,13,1.6094379124341,NA,NA,NA,23.7090897665938,21.2976355212464,443.107158315502
"622",2022-11-28,"Abia",3802539,0.223042814288032,0.114538996181236,"SURVEY",0,0,0,4,13,1.6094379124341,NA,NA,443.37,23.717371258265,21.3069692696685,443.37
"640",2022-11-29,"Abia",3802539,0.222017972728222,0.116594990873203,"SURVEY",0,0,0,4,13,1.6094379124341,NA,NA,443.44,23.7269844770895,21.3171642128116,443.44
"680",2022-11-30,"Abia",3802539,0.212693939496742,0.113013962512942,"SURVEY",1,0,0,4,14,1.6094379124341,NA,NA,443.44,23.7378778990176,21.3281859298605,443.44
"732",2022-12-01,"Abia",3802539,0.213334827072122,0.113074974378961,"SURVEY",0,0,0,4,14,1.6094379124341,23.75,21.34,443.45,23.75,21.34,443.45
"751",2022-12-02,"Abia",3802539,0.214154805512843,0.114661808859817,"SURVEY",0,0,0,4,13,1.6094379124341,NA,NA,443.67,23.7632947548047,21.3525689329194,443.67
"796",2022-12-03,"Abia",3802539,0.215827898149105,0.111921797514766,"SURVEY",0,0,0,4,10,1.6094379124341,NA,NA,NA,23.7776881334698,21.3658429603263,443.797629557566
"825",2022-12-04,"Abia",3802539,0.228394764655931,0.119230861274533,"SURVEY",0,0,0,3,6,1.38629436111989,NA,NA,NA,23.7931016048508,21.3797692444324,443.866683684051
"887",2022-12-05,"Abia",3802539,0.229865886977096,0.115679812882918,"SURVEY",0,0,0,0,4,0,NA,NA,444.04,23.8094566378035,21.39429494745,444.04
"916",2022-12-06,"Abia",3802539,0.232240879054758,0.114635773623886,"SURVEY",0,0,0,0,4,0,NA,NA,444.31,23.8266747011834,21.4093672315908,444.31
"956",2022-12-07,"Abia",3802539,0.229348864009021,0.110218987892037,"SURVEY",0,0,0,0,4,0,NA,NA,444.31,23.8446772638461,21.424933259067,444.31
"996",2022-12-08,"Abia",3802539,0.227704962394863,0.11081096078173,"SURVEY",0,0,0,0,4,0,NA,NA,444.47,23.8633857946473,21.4409401920904,444.47
"1023",2022-12-09,"Abia",3802539,0.229338870686139,0.110323917782303,"SURVEY",0,0,0,0,3,0,NA,NA,444.47,23.8827217624425,21.4573351928732,444.47
"1054",2022-12-10,"Abia",3802539,0.234718960147417,0.114278906804112,"SURVEY",0,0,0,0,3,0,NA,NA,NA,23.9026066360874,21.4740654236272,444.468743091993
"1082",2022-12-11,"Abia",3802539,0.23527779728229,0.114221839670809,"SURVEY",0,0,0,0,3,0,NA,NA,NA,23.9229618844376,21.4910780465644,444.532635130219
"1115",2022-12-12,"Abia",3802539,0.238487757784996,0.114457997669452,"SURVEY",0,0,0,0,3,0,NA,NA,444.65,23.9437089763487,21.5083202238969,444.65
"1157",2022-12-13,"Abia",3802539,0.242833801310125,0.113639860103999,"SURVEY",0,0,0,0,3,0,NA,NA,444.81,23.9647693806762,21.5257391178366,444.81
"1197",2022-12-14,"Abia",3802539,0.250178893628704,0.11840799002982,"SURVEY",0,0,0,0,3,0,NA,NA,444.96,23.9860645662759,21.5432818905955,444.96
